generic_name,drug_category
MOMETASONE/FORMOTEROL,Respiratory/Pulmonary
MONTELUKAST SODIUM,Respiratory/Pulmonary
MORPHINE SULFATE,Pain/Analgesics/Antiinflammatory
MORPHINE SULFATE/NALTREXONE,Pain/Analgesics/Antiinflammatory
MORPHINE SULFATE/PF,Pain/Analgesics/Antiinflammatory
MOXIFLOXACIN HCL,Antibiotics/Antiinfectives
MOXIFLOXACIN IN NACL (ISO-OSM),Antibiotics/Antiinfectives
"MOXIFLOXACIN/SOD.ACE,SUL/WATER",Antibiotics/Antiinfectives
MULTIVIT-MINS NO.7/FOLIC ACID,Other/Supportive Care
MUPIROCIN,Other/Supportive Care
MUPIROCIN CALCIUM,Other/Supportive Care
MYCOPHENOLATE MOFETIL,Immunosuppressants/Biologics
MYCOPHENOLATE MOFETIL HCL,Immunosuppressants/Biologics
MYCOPHENOLATE SODIUM,Immunosuppressants/Biologics
"N.MENINGITIDIS B,LIPID FHBP RC",Other/Supportive Care
NABILONE,Other/Supportive Care
NABUMETONE,Other/Supportive Care
NADOLOL,Other/Supportive Care
NADOLOL/BENDROFLUMETHIAZIDE,Other/Supportive Care
NAFARELIN ACETATE,Other/Supportive Care
"NAFCILLIN IN DEXTROSE,ISO-OSM",Other/Supportive Care
NAFCILLIN SODIUM,Other/Supportive Care
NAFTIFINE HCL,Other/Supportive Care
NALBUPHINE HCL,Other/Supportive Care
NALDEMEDINE TOSYLATE,Other/Supportive Care
NALOXEGOL OXALATE,Other/Supportive Care
NALOXONE HCL,Other/Supportive Care
NALTREXONE HCL,Other/Supportive Care
NALTREXONE HCL/BUPROPION HCL,Neurological/Neuropsychiatric
NALTREXONE MICROSPHERES,Other/Supportive Care
NAPHAZOLINE HCL,Other/Supportive Care
NAPROXEN,Pain/Analgesics/Antiinflammatory
NAPROXEN SODIUM,Pain/Analgesics/Antiinflammatory
NAPROXEN/ESOMEPRAZOLE MAG,Gastrointestinal
NARATRIPTAN HCL,Other/Supportive Care
NATALIZUMAB,Immunosuppressants/Biologics
NATAMYCIN,Other/Supportive Care
NATEGLINIDE,Endocrine/Metabolic
NEBIVOLOL HCL,Other/Supportive Care
NEBIVOLOL HCL/VALSARTAN,Other/Supportive Care
NEDOCROMIL SODIUM,Other/Supportive Care
NEFAZODONE HCL,Other/Supportive Care
NELFINAVIR MESYLATE,Other/Supportive Care
NEOMYC/BACIT/POLYMYX/HYDROCORT,Other/Supportive Care
NEOMYC/COLIST/HYDROCORT/THONZN,Other/Supportive Care
NEOMYCIN SULF/BACITRACIN/POLY,Other/Supportive Care
NEOMYCIN SULF/POLYMYXIN B SULF,Other/Supportive Care
NEOMYCIN SULFATE,Other/Supportive Care
NEOMYCIN SULFATE/FLUOCINOLONE,Other/Supportive Care
NEOMYCIN/BACIT/P-MYX/HYDROCORT,Other/Supportive Care
NEOMYCIN/POLYMYXIN B/DEXAMETHA,Other/Supportive Care
NEOMYCIN/POLYMYXIN B/HYDROCORT,Other/Supportive Care
NEOMYCIN/POLYMYXN B/GRAMICIDIN,Other/Supportive Care
NEPAFENAC,Other/Supportive Care
NERATINIB MALEATE,Other/Supportive Care
NETUPITANT/PALONOSETRON HCL,Other/Supportive Care
NEVIRAPINE,Other/Supportive Care
NIACIN,Other/Supportive Care
NICARDIPINE HCL,Other/Supportive Care
NICOTINE,Other/Supportive Care
NIFEDIPINE,Cardiovascular
NILOTINIB HCL,Oncology
NILUTAMIDE,Other/Supportive Care
NIMODIPINE,Other/Supportive Care
NINTEDANIB ESYLATE,Other/Supportive Care
NIRAPARIB TOSYLATE,Other/Supportive Care
NISOLDIPINE,Other/Supportive Care
NITAZOXANIDE,Other/Supportive Care
NITISINONE,Other/Supportive Care
NITROFURANTOIN,Other/Supportive Care
NITROFURANTOIN MACROCRYSTAL,Other/Supportive Care
NITROFURANTOIN MONOHYD/M-CRYST,Other/Supportive Care
NITROGLYCERIN,Cardiovascular
NIVOLUMAB,Other/Supportive Care
NIZATIDINE,Other/Supportive Care
NORELGESTROMIN/ETHIN.ESTRADIOL,Other/Supportive Care
NORETH-ETHINYL ESTRADIOL/IRON,Other/Supportive Care
NORETHINDRONE,Other/Supportive Care
NORETHINDRONE AC-ETH ESTRADIOL,Other/Supportive Care
NORETHINDRONE ACETATE,Other/Supportive Care
NORETHINDRONE-E.ESTRADIOL-IRON,Other/Supportive Care
NORETHINDRONE-ETHINYL ESTRAD,Other/Supportive Care
NORETHINDRONE-MESTRANOL,Other/Supportive Care
NORGESTIMATE-ETHINYL ESTRADIOL,Other/Supportive Care
NORGESTREL-ETHINYL ESTRADIOL,Other/Supportive Care
NORTRIPTYLINE HCL,Neurological/Neuropsychiatric
NYSTATIN,Other/Supportive Care
NYSTATIN/TRIAMCIN,Other/Supportive Care
OBETICHOLIC ACID,Other/Supportive Care
OBINUTUZUMAB,Other/Supportive Care
OCRELIZUMAB,Other/Supportive Care
OCTREOTIDE ACETATE,Other/Supportive Care
"OCTREOTIDE ACETATE,MI-SPHERES",Other/Supportive Care
OFATUMUMAB,Other/Supportive Care
OFLOXACIN,Other/Supportive Care
OLANZAPINE,Neurological/Neuropsychiatric
OLANZAPINE PAMOATE,Neurological/Neuropsychiatric
OLANZAPINE/FLUOXETINE HCL,Neurological/Neuropsychiatric
OLAPARIB,Other/Supportive Care
OLARATUMAB,Other/Supportive Care
OLMESARTAN MEDOXOMIL,Other/Supportive Care
OLMESARTAN/AMLODIPIN/HCTHIAZID,Other/Supportive Care
OLMESARTAN/HYDROCHLOROTHIAZIDE,Cardiovascular
OLODATEROL HCL,Other/Supportive Care
OLOPATADINE HCL,Other/Supportive Care
OLSALAZINE SODIUM,Other/Supportive Care
OMACETAXINE MEPESUCCINATE,Other/Supportive Care
OMALIZUMAB,Other/Supportive Care
OMBITA/PARITAP/RITON/DASABUVIR,Other/Supportive Care
OMEGA-3 ACID ETHYL ESTERS,Other/Supportive Care
OMEPRAZOLE,Gastrointestinal
OMEPRAZOLE MAGNESIUM,Gastrointestinal
OMEPRAZOLE/CLARITH/AMOXICILLIN,Gastrointestinal
OMEPRAZOLE/SODIUM BICARBONATE,Gastrointestinal
ONABOTULINUMTOXINA,Other/Supportive Care
ONDANSETRON,Gastrointestinal
ONDANSETRON HCL,Gastrointestinal
ONDANSETRON HCL/PF,Gastrointestinal
OPIUM TINCTURE,Other/Supportive Care
OPIUM/BELLADONNA ALKALOIDS,Other/Supportive Care
ORITAVANCIN DIPHOSPHATE,Other/Supportive Care
ORLISTAT,Other/Supportive Care
ORPHENADRINE CITRATE,Other/Supportive Care
OSELTAMIVIR PHOSPHATE,Antibiotics/Antiinfectives
OSIMERTINIB MESYLATE,Other/Supportive Care
OSPEMIFENE,Other/Supportive Care
OXACILLIN IN DEXTROSE(ISO-OSM),Other/Supportive Care
OXACILLIN SODIUM,Other/Supportive Care
OXALIPLATIN,Other/Supportive Care
OXANDROLONE,Other/Supportive Care
OXAPROZIN,Other/Supportive Care
OXAZEPAM,Other/Supportive Care
OXCARBAZEPINE,Other/Supportive Care
OXICONAZOLE NITRATE,Other/Supportive Care
OXYBUTYNIN,Other/Supportive Care
OXYBUTYNIN CHLORIDE,Other/Supportive Care
OXYCODONE HCL,Pain/Analgesics/Antiinflammatory
OXYCODONE HCL/ACETAMINOPHEN,Pain/Analgesics/Antiinflammatory
OXYCODONE HCL/ASPIRIN,Cardiovascular
OXYCODONE MYRISTATE,Pain/Analgesics/Antiinflammatory
OXYMETAZOLINE HCL,Other/Supportive Care
OXYMETHOLONE,Other/Supportive Care
OXYMORPHONE HCL,Other/Supportive Care
OXYTOCIN,Other/Supportive Care
PACLITAXEL,Oncology
PACLITAXEL PROTEIN-BOUND,Oncology
PALBOCICLIB,Other/Supportive Care
PALIPERIDONE,Other/Supportive Care
PALIPERIDONE PALMITATE,Other/Supportive Care
PALIVIZUMAB,Other/Supportive Care
PALONOSETRON HCL,Other/Supportive Care
PAMIDRONATE DISODIUM,Other/Supportive Care
PANITUMUMAB,Other/Supportive Care
PANOBINOSTAT LACTATE,Other/Supportive Care
PANTOPRAZOLE SODIUM,Gastrointestinal
PAPAVERINE HCL,Other/Supportive Care
PARATHYROID HORMONE,Other/Supportive Care
PAREGORIC,Other/Supportive Care
PARENTERAL AMINO ACID 10% NO.4,Other/Supportive Care
PARENTERAL AMINO ACID 10% NO.6,Other/Supportive Care
PARENTERAL AMINO ACID 15% NO.1,Other/Supportive Care
PARENTERAL AMINO ACID 20% NO.1,Other/Supportive Care
PARICALCITOL,Other/Supportive Care
PAROMOMYCIN SULFATE,Other/Supportive Care
PAROXETINE HCL,Neurological/Neuropsychiatric
PAROXETINE MESYLATE,Neurological/Neuropsychiatric
PASIREOTIDE DIASPARTATE,Other/Supportive Care
PASIREOTIDE PAMOATE,Other/Supportive Care
PATIROMER CALCIUM SORBITEX,Other/Supportive Care
PAZOPANIB HCL,Other/Supportive Care
PEDI MULTIVIT 45/FLUORIDE/IRON,Other/Supportive Care
PEDI MULTIVIT 75/FLUORIDE/IRON,Other/Supportive Care
PEDI MULTIVIT NO.12 W-FLUORIDE,Other/Supportive Care
PEDI MULTIVIT NO.16 W-FLUORIDE,Other/Supportive Care
PEDI MULTIVIT NO.17 W-FLUORIDE,Other/Supportive Care
PEDI MULTIVIT NO.2 W-FLUORIDE,Other/Supportive Care
PEDI MULTIVIT NO.82 W-FLUORIDE,Other/Supportive Care
PEG3350/SOD SUL/NACL/ASB/C/KCL,Other/Supportive Care
"PEG3350/SOD SULF,BICARB,CL/KCL",Other/Supportive Care
PEGADEMASE BOVINE,Other/Supportive Care
PEGFILGRASTIM,Other/Supportive Care
PEGINTERFERON ALFA-2A,Other/Supportive Care
PEGINTERFERON ALFA-2B,Other/Supportive Care
PEGINTERFERON BETA-1A,Other/Supportive Care
PEGLOTICASE,Other/Supportive Care
PEGVISOMANT,Other/Supportive Care
PEMBROLIZUMAB,Other/Supportive Care
PEMETREXED DISODIUM,Oncology
PEN G BENZ/PEN G PROCAINE,Other/Supportive Care
PEN G POT/DEXTROSE-WATER,Other/Supportive Care
"PEN NEEDLE, DIABETIC",Other/Supportive Care
"PEN NEEDLE, DIABETIC, SAFETY",Other/Supportive Care
"PEN NEEDLE,DUAL SAFETY,DIABETC",Other/Supportive Care
PENCICLOVIR,Other/Supportive Care
PENICILLAMINE,Other/Supportive Care
PENICILLIN G BENZATHINE,Other/Supportive Care
PENICILLIN G POTASSIUM,Other/Supportive Care
PENICILLIN G SODIUM,Other/Supportive Care
PENICILLIN V POTASSIUM,Other/Supportive Care
PENTAMIDINE ISETHIONATE,Other/Supportive Care
PENTAZOCINE HCL/NALOXONE HCL,Other/Supportive Care
PENTOSAN POLYSULFATE SODIUM,Other/Supportive Care
PENTOSTATIN,Other/Supportive Care
PENTOXIFYLLINE,Other/Supportive Care
PERAMPANEL,Other/Supportive Care
PERINDOPRIL ERBUMINE,Other/Supportive Care
PERIT. DIALYSIS NO.6-1.5 % DEX,Other/Supportive Care
PERMETHRIN,Dermatological
PERPHENAZINE,Other/Supportive Care
PERPHENAZINE/AMITRIPTYLINE HCL,Neurological/Neuropsychiatric
PERTUZUMAB,Other/Supportive Care
PHENAZOPYRIDINE HCL,Other/Supportive Care
PHENELZINE SULFATE,Other/Supportive Care
PHENOBARBITAL,Other/Supportive Care
PHENOBARBITAL SODIUM,Other/Supportive Care
PHENOXYBENZAMINE HCL,Other/Supportive Care
PHENTERMINE HCL,Other/Supportive Care
PHENTERMINE/TOPIRAMATE,Neurological/Neuropsychiatric
PHENTOLAMINE MESYLATE,Other/Supportive Care
PHENYLEPHRINE HCL,Other/Supportive Care
PHENYLEPHRINE HCL/PROMETH HCL,Other/Supportive Care
PHENYTOIN,Neurological/Neuropsychiatric
PHENYTOIN SODIUM,Neurological/Neuropsychiatric
PHENYTOIN SODIUM EXTENDED,Neurological/Neuropsychiatric
PHYTONADIONE (VIT K1),Other/Supportive Care
PILOCARPINE HCL,Other/Supportive Care
PIMAVANSERIN TARTRATE,Other/Supportive Care
PIMECROLIMUS,Dermatological
PIMOZIDE,Other/Supportive Care
PINDOLOL,Other/Supportive Care
PIOGLITAZONE HCL,Endocrine/Metabolic
PIOGLITAZONE HCL/GLIMEPIRIDE,Endocrine/Metabolic
PIOGLITAZONE HCL/METFORMIN HCL,Endocrine/Metabolic
PIPERACILLIN SODIUM/TAZOBACTAM,Other/Supportive Care
"PIPERACILLIN-TAZO-DEXTROSE,ISO",Other/Supportive Care
PIRFENIDONE,Other/Supportive Care
PIROXICAM,Other/Supportive Care
PITAVASTATIN CALCIUM,Other/Supportive Care
PLECANATIDE,Other/Supportive Care
PLERIXAFOR,Other/Supportive Care
PNEUMOC 13-VAL CONJ-DIP CRM/PF,Other/Supportive Care
PNV 102/IRON/FOLATE 1/DSS/DHA,Other/Supportive Care
PNV 11/IRON FUM/FOLIC ACID/OM3,Other/Supportive Care
PNV 112/IRON/FOLIC/OM3/DHA/EPA,Other/Supportive Care
PNV 117/IRON/FOLIC/OM3/DHA/EPA,Other/Supportive Care
"PNV 15/IRON FUM,PS/FOLIC ACID",Other/Supportive Care
"PNV 16/IRON FUM,PS/FOLIC/OM-3",Other/Supportive Care
"PNV 19/IRON PS,HEME/FOLIC/DHA",Other/Supportive Care
"PNV 21/IRON PS,HEME PPEP/FOLIC",Other/Supportive Care
"PNV 30/IRON CARB,AG/FOLIC/OM3",Other/Supportive Care
PNV 39/IRON/FOLIC/DOCUSATE/DHA,Gastrointestinal
"PNV 55/IRON FUM,B-G/FOLIC ACID",Other/Supportive Care
PNV 66/IRON/FOLIC/DOCUSATE/DHA,Gastrointestinal
PNV 67/IRON PS/FOLATE NO.1/DHA,Other/Supportive Care
PNV 69/IRON/FOLIC/DOCUSATE/DHA,Gastrointestinal
"PNV 76/IRON,GLUC/FOLIC/DSS/DHA",Other/Supportive Care
PNV 80/IRON FUM/FOLIC/DSS/DHA,Other/Supportive Care
PNV 85/IRON/FOLIC/DHA/FISH OIL,Other/Supportive Care
PNV NO.106/IRON/FOLATE NO6/DHA,Other/Supportive Care
PNV NO.118/IRON FUMARATE/FA,Other/Supportive Care
"PNV,CALCIUM 72/IRON,CARB/FOLIC",Other/Supportive Care
"PNV,CALCIUM 72/IRON/FOLIC ACID",Other/Supportive Care
"PNV,CALCIUM37/IRON/FOLIC/OMEG3",Other/Supportive Care
PNV/FOLIC AC/B6/CALCIUM/GINGER,Other/Supportive Care
PNV119/IRON FUM/FOLIC/DOCUSATE,Gastrointestinal
PNV20/IRON/FOLIC/DOCUSATE/OM3S,Gastrointestinal
"PNV59/IRON,CARB,FUM/FA/DSS/DHA",Other/Supportive Care
"PNV72/IRON,GLUC/FOLIC/DSS/DHA",Other/Supportive Care
"PNV73/IRON,GLUC/FOLIC/DSS/DHA",Other/Supportive Care
PODOFILOX,Other/Supportive Care
PODOPHYLLUM RESIN,Other/Supportive Care
"POLIOMYELITIS VACCINE, KILLED",Other/Supportive Care
POLYETHYLENE GLYCOL 3350,Other/Supportive Care
POLYMYXIN B SULF/TRIMETHOPRIM,Antibiotics/Antiinfectives
POLYMYXIN B SULFATE,Other/Supportive Care
POMALIDOMIDE,Oncology
PONATINIB HCL,Other/Supportive Care
POSACONAZOLE,Other/Supportive Care
POT CHLORIDE/POT BICARB/CIT AC,Other/Supportive Care
POTASSIUM ACETATE,Other/Supportive Care
POTASSIUM BICARBONATE/CIT AC,Other/Supportive Care
POTASSIUM CHLORIDE,Other/Supportive Care
POTASSIUM CHLORIDE IN 0.9%NACL,Other/Supportive Care
POTASSIUM CHLORIDE IN D5W,Other/Supportive Care
POTASSIUM CHLORIDE IN WATER,Other/Supportive Care
POTASSIUM CHLORIDE-0.45% NACL,Other/Supportive Care
POTASSIUM CHLORIDE/D5-0.2%NACL,Other/Supportive Care
POTASSIUM CHLORIDE/D5-0.45NACL,Other/Supportive Care
POTASSIUM CHLORIDE/D5-0.9%NACL,Other/Supportive Care
POTASSIUM CITRATE,Other/Supportive Care
POTASSIUM CITRATE/CITRIC ACID,Other/Supportive Care
POTASSIUM IODIDE,Other/Supportive Care
"POTASSIUM PHOS,M-BASIC-D-BASIC",Other/Supportive Care
"POTASSIUM PHOSPHATE,MONOBASIC",Other/Supportive Care
POVIDONE-IODINE,Other/Supportive Care
PRALATREXATE,Other/Supportive Care
PRAMIPEXOLE DI-HCL,Neurological/Neuropsychiatric
PRAMLINTIDE ACETATE,Other/Supportive Care
PRASTERONE (DHEA),Other/Supportive Care
PRASUGREL HCL,Other/Supportive Care
PRAVASTATIN SODIUM,Cardiovascular
PRAZIQUANTEL,Other/Supportive Care
PRAZOSIN HCL,Other/Supportive Care
PREDNICARBATE,Other/Supportive Care
PREDNISOLONE,Other/Supportive Care
PREDNISOLONE ACETATE,Other/Supportive Care
PREDNISOLONE SOD PHOSPHATE,Other/Supportive Care
PREDNISONE,Other/Supportive Care
PREGABALIN,Neurological/Neuropsychiatric
PRENAT 115/IRON FUM/FOLIC/DSS,Other/Supportive Care
"PRENAT90/IRON FUM,PS/FOLIC/DHA",Other/Supportive Care
PRENATAL 114/IRON A-G/FOLATE 1,Other/Supportive Care
PRENATAL 118/IRON/FOLATE 6/DHA,Other/Supportive Care
PRENATAL 2/IRON/FOLIC ACID/OM3,Other/Supportive Care
PRENATAL 25/IRON/FOLATE 6/DHA,Other/Supportive Care
PRENATAL 26/IRON PS/FOLIC/DHA,Other/Supportive Care
PRENATAL 38/IRON/FOLATE 6/DHA,Other/Supportive Care
PRENATAL 47/IRON/FOLATE 1/DHA,Other/Supportive Care
PRENATAL 48/IRON/FOLIC ACID/B6,Other/Supportive Care
PRENATAL 53/IRON/FOLIC AC/OMG3,Other/Supportive Care
PRENATAL 68/IRON/FOLIC NO1/DHA,Other/Supportive Care
PRENATAL 78/IRON/FOLATE 1/DHA,Other/Supportive Care
PRENATAL 86/IRON/FOLIC/DHA/EPA,Other/Supportive Care
PRENATAL 87/IRON BIS/FOLIC/DHA,Other/Supportive Care
PRENATAL 93/IRON/FOLATE 9/DHA,Other/Supportive Care
PRENATAL NO.123/IRON/FOLIC AC,Other/Supportive Care
PRENATAL NO.52/IRON/FA/DHA,Other/Supportive Care
PRENATAL NO.75/IRON/FOLATE NO1,Other/Supportive Care
PRENATAL NO13/IRON PS/FOLATE 1,Other/Supportive Care
PRENATAL VIT 10/IRON FUM/FOLIC,Other/Supportive Care
PRENATAL VIT 10/IRON/FOLIC/DHA,Other/Supportive Care
PRENATAL VIT 14/IRON FUM/FOLIC,Other/Supportive Care
PRENATAL VIT 33/IRON/FOLIC/DHA,Other/Supportive Care
PRENATAL VIT 36/IRON/FOLATE 6,Other/Supportive Care
"PRENATAL VIT 65/IRON FUM,PS/FA",Other/Supportive Care
PRENATAL VIT 84/IRON/FA 1/DHA,Other/Supportive Care
PRENATAL VIT 85/IRON/FA 1/DHA,Other/Supportive Care
PRENATAL VIT 87/IRON/FOLIC/DHA,Other/Supportive Care
PRENATAL VIT NO.112/FOLATE NO6,Other/Supportive Care
PRENATAL VIT NO.127/IRON/FOLIC,Other/Supportive Care
PRENATAL VIT NO.44/IRON/FA/DHA,Other/Supportive Care
"PRENATAL VIT,CAL 73/IRON/FOLIC",Other/Supportive Care
"PRENATAL VIT,CAL 74/IRON/FOLIC",Other/Supportive Care
"PRENATAL VIT,CALC76/IRON/FOLIC",Other/Supportive Care
"PRENATAL VIT,CALC78/IRON/FOLIC",Other/Supportive Care
PRENATAL VIT/IRON FUM/FOLIC AC,Other/Supportive Care
PRENATAL VIT103/IRON FUM/FOLIC,Other/Supportive Care
PRENATAL VIT106/IRON/FOLIC/OM3,Other/Supportive Care
PRENATAL VIT114/FOLATE6/GINGER,Other/Supportive Care
PRENATAL VIT22/IRON/FOLIC/OM3S,Other/Supportive Care
"PRENATAL VIT27,CALCIUM/IRON/FA",Other/Supportive Care
PRENATAL VIT37/IRON/FOLIC ACID,Other/Supportive Care
PRENATAL VIT68/IRON/FA NO6/DHA,Other/Supportive Care
PRENATAL VIT69/IRON/FOLATE6/DH,Other/Supportive Care
PRENATAL VIT86/IRON/FOLIC ACID,Other/Supportive Care
PRENATAL VITS15/IRON/FOLIC/DSS,Other/Supportive Care
PRENATAL VITS16/IRON/FOLIC/DSS,Other/Supportive Care
"PRENATAL,CALC.40/IRON/FOLATE 1",Other/Supportive Care
PRENATAL56/IRON/FOLIC ACID/DHA,Other/Supportive Care
PRENATAL72/IRON FUM/FA/OM3/DHA,Other/Supportive Care
PRENATAL81/IRON/FOLIC/DOCUSATE,Gastrointestinal
PRENATAL92/IRON/FOLATE8/PS-DHA,Other/Supportive Care
PRIMAQUINE PHOSPHATE,Other/Supportive Care
PRIMIDONE,Other/Supportive Care
PROBENECID,Other/Supportive Care
PROBENECID/COLCHICINE,Other/Supportive Care
PROCARBAZINE HCL,Other/Supportive Care
PROCHLORPERAZINE,Gastrointestinal
PROCHLORPERAZINE EDISYLATE,Gastrointestinal
PROCHLORPERAZINE MALEATE,Gastrointestinal
PROGESTERONE,Endocrine/Metabolic
"PROGESTERONE, MICRONIZED",Endocrine/Metabolic
PROMETHAZINE HCL,Other/Supportive Care
PROMETHAZINE HCL/CODEINE,Pain/Analgesics/Antiinflammatory
PROMETHAZINE/DEXTROMETHORPHAN,Other/Supportive Care
PROMETHAZINE/PHENYLEPH/CODEINE,Pain/Analgesics/Antiinflammatory
PROPAFENONE HCL,Other/Supportive Care
PROPANTHELINE BROMIDE,Other/Supportive Care
PROPARACAINE HCL,Other/Supportive Care
PROPRANOLOL HCL,Other/Supportive Care
PROPRANOLOL/HYDROCHLOROTHIAZID,Other/Supportive Care
PROPYLTHIOURACIL,Endocrine/Metabolic
PROTRIPTYLINE HCL,Other/Supportive Care
PSEUDOEPHEDRINE HCL/ACRIVAS,Other/Supportive Care
PYRAZINAMIDE,Other/Supportive Care
PYRIDOSTIGMINE BROMIDE,Other/Supportive Care
PYRIMETHAMINE,Other/Supportive Care
QUETIAPINE FUMARATE,Neurological/Neuropsychiatric
QUINAPRIL HCL,Other/Supportive Care
QUINAPRIL/HYDROCHLOROTHIAZIDE,Cardiovascular
QUINIDINE GLUCONATE,Other/Supportive Care
QUINIDINE SULFATE,Other/Supportive Care
QUININE SULFATE,Other/Supportive Care
QUINUPRISTIN/DALFOPRISTIN,Other/Supportive Care
RABEPRAZOLE SODIUM,Other/Supportive Care
"RABIES VACC, HUMAN DIPLOID/PF",Other/Supportive Care
RABIES VACCINE (PCEC)/PF,Other/Supportive Care
RALOXIFENE HCL,Other/Supportive Care
RALTEGRAVIR POTASSIUM,Other/Supportive Care
RAMELTEON,Other/Supportive Care
RAMIPRIL,Other/Supportive Care
RAMUCIRUMAB,Other/Supportive Care
RANIBIZUMAB,Other/Supportive Care
RANITIDINE HCL,Gastrointestinal
RANOLAZINE,Other/Supportive Care
RASAGILINE MESYLATE,Other/Supportive Care
RASBURICASE,Other/Supportive Care
REGORAFENIB,Other/Supportive Care
REPAGLINIDE,Endocrine/Metabolic
REPAGLINIDE/METFORMIN HCL,Endocrine/Metabolic
RESLIZUMAB,Other/Supportive Care
RHO(D) IMMUNE GLOBULIN,Other/Supportive Care
RIBAVIRIN,Antibiotics/Antiinfectives
RIBOCICLIB SUCCINATE,Other/Supportive Care
RIBOCICLIB SUCCINATE/LETROZOLE,Other/Supportive Care
RIFABUTIN,Other/Supportive Care
RIFAMP/ISONIAZID/PYRAZINAMIDE,Other/Supportive Care
RIFAMPIN,Other/Supportive Care
RIFAMPIN/ISONIAZID,Other/Supportive Care
RIFAPENTINE,Other/Supportive Care
RIFAXIMIN,Other/Supportive Care
RILONACEPT,Other/Supportive Care
RILPIVIRINE HCL,Other/Supportive Care
RILUZOLE,Other/Supportive Care
RIMABOTULINUMTOXINB,Other/Supportive Care
RIMANTADINE HCL,Other/Supportive Care
RIMEXOLONE,Other/Supportive Care
"RINGER'S SOLUTION,LACTATED",Other/Supportive Care
RIOCIGUAT,Other/Supportive Care
RISEDRONATE SODIUM,Other/Supportive Care
RISPERIDONE,Neurological/Neuropsychiatric
RISPERIDONE MICROSPHERES,Neurological/Neuropsychiatric
RITONAVIR,Other/Supportive Care
RITUXIMAB,Other/Supportive Care
"RITUXIMAB/HYALURONIDASE,HUMAN",Other/Supportive Care
RIVAROXABAN,Other/Supportive Care
RIVASTIGMINE,Other/Supportive Care
RIVASTIGMINE TARTRATE,Other/Supportive Care
RIZATRIPTAN BENZOATE,Other/Supportive Care
ROFLUMILAST,Respiratory/Pulmonary
ROLAPITANT HCL,Other/Supportive Care
ROMIDEPSIN,Other/Supportive Care
ROMIPLOSTIM,Other/Supportive Care
ROPINIROLE HCL,Neurological/Neuropsychiatric
ROSIGLITAZONE MALEATE,Endocrine/Metabolic
ROSUVASTATIN CALCIUM,Cardiovascular
ROTIGOTINE,Other/Supportive Care
RUCAPARIB CAMSYLATE,Other/Supportive Care
RUFINAMIDE,Other/Supportive Care
RUXOLITINIB PHOSPHATE,Other/Supportive Care
SACROSIDASE,Other/Supportive Care
SACUBITRIL/VALSARTAN,Other/Supportive Care
SAFINAMIDE MESYLATE,Other/Supportive Care
SALICYLIC ACID,Dermatological
SALMETEROL XINAFOATE,Respiratory/Pulmonary
SALSALATE,Other/Supportive Care
SAPROPTERIN DIHYDROCHLORIDE,Other/Supportive Care
SAQUINAVIR MESYLATE,Other/Supportive Care
SARGRAMOSTIM,Other/Supportive Care
SARILUMAB,Other/Supportive Care
SAXAGLIPTIN HCL,Endocrine/Metabolic
SAXAGLIPTIN HCL/METFORMIN HCL,Endocrine/Metabolic
SCOPOLAMINE,Other/Supportive Care
SECOBARBITAL SODIUM,Other/Supportive Care
SECUKINUMAB,Immunosuppressants/Biologics
SELEGILINE,Other/Supportive Care
SELEGILINE HCL,Other/Supportive Care
SELENIUM SULFIDE,Other/Supportive Care
SELEXIPAG,Other/Supportive Care
SERTACONAZOLE NITRATE,Other/Supportive Care
SERTRALINE HCL,Neurological/Neuropsychiatric
SEVELAMER CARBONATE,Other/Supportive Care
SEVELAMER HCL,Other/Supportive Care
SILDENAFIL CITRATE,Other/Supportive Care
SILODOSIN,Other/Supportive Care
SILVER NITRATE,Other/Supportive Care
SILVER SULFADIAZINE,Other/Supportive Care
SIMEPREVIR SODIUM,Other/Supportive Care
SIMVASTATIN,Cardiovascular
SINECATECHINS,Other/Supportive Care
SIROLIMUS,Other/Supportive Care
SITAGLIPTIN PHOS/METFORMIN HCL,Endocrine/Metabolic
SITAGLIPTIN PHOSPHATE,Endocrine/Metabolic
"SOD PHOS DI, MONO/K PHOS MONO",Other/Supportive Care
"SOD PHOS,M-B/K PHOS,MONOB",Other/Supportive Care
"SOD PHOSPHATE MBAS/SOD PHOS,DI",Other/Supportive Care
"SOD PHOSPHATE,MONOBASIC-DIBAS",Other/Supportive Care
SOD PICOSULF/MAG OX/CITRIC AC,Other/Supportive Care
SOD/POT/K CIT/SOD CIT/CIT ACID,Other/Supportive Care
SODIUM ACETATE,Other/Supportive Care
SODIUM BICARBONATE,Other/Supportive Care
SODIUM CHLORIDE,Other/Supportive Care
SODIUM CHLORIDE 0.45 %,Other/Supportive Care
SODIUM CHLORIDE 3 %,Other/Supportive Care
SODIUM CHLORIDE 5 %,Other/Supportive Care
SODIUM CHLORIDE FOR INHALATION,Other/Supportive Care
SODIUM CHLORIDE IRRIG SOLUTION,Other/Supportive Care
SODIUM CHLORIDE/NAHCO3/KCL/PEG,Other/Supportive Care
SODIUM FLUORIDE/POTASSIUM NIT,Other/Supportive Care
SODIUM OXYBATE,Other/Supportive Care
SODIUM PHENYLBUTYRATE,Other/Supportive Care
SODIUM POLYSTYRENE SULFON/SORB,Other/Supportive Care
SODIUM POLYSTYRENE SULFONATE,Other/Supportive Care
