generic_name,drug_category
CANDESARTAN/HYDROCHLOROTHIAZID,Other/Supportive Care
CAPECITABINE,Other/Supportive Care
CAPTOPRIL,Other/Supportive Care
CAPTOPRIL/HYDROCHLOROTHIAZIDE,Cardiovascular
CARBAMAZEPINE,Neurological/Neuropsychiatric
CARBIDOPA,Neurological/Neuropsychiatric
CARBIDOPA/LEVODOPA,Neurological/Neuropsychiatric
CARBIDOPA/LEVODOPA/ENTACAPONE,Neurological/Neuropsychiatric
CARBINOXAMINE MALEATE,Other/Supportive Care
CARBOPLATIN,Other/Supportive Care
CARFILZOMIB,Other/Supportive Care
CARGLUMIC ACID,Other/Supportive Care
CARIPRAZINE HCL,Other/Supportive Care
CARISOPRODOL,Other/Supportive Care
CARISOPRODOL/ASPIRIN,Cardiovascular
CARISOPRODOL/ASPIRIN/CODEINE,Cardiovascular
CARMUSTINE,Other/Supportive Care
CARTEOLOL HCL,Other/Supportive Care
CARVEDILOL,Other/Supportive Care
CARVEDILOL PHOSPHATE,Other/Supportive Care
CASPOFUNGIN ACETATE,Other/Supportive Care
CEFACLOR,Other/Supportive Care
CEFADROXIL,Other/Supportive Care
CEFAZOLIN SODIUM,Other/Supportive Care
"CEFAZOLIN SODIUM/DEXTROSE,ISO",Other/Supportive Care
CEFDINIR,Other/Supportive Care
CEFEPIME HCL,Other/Supportive Care
CEFEPIME HCL IN DEXTROSE 5 %,Other/Supportive Care
CEFEPIME IN ISO-OSM DEXTROSE,Other/Supportive Care
CEFIXIME,Other/Supportive Care
CEFOTAXIME SODIUM,Other/Supportive Care
CEFOTETAN DISODIUM,Other/Supportive Care
CEFOXITIN SODIUM,Other/Supportive Care
"CEFOXITIN SODIUM/DEXTROSE,ISO",Other/Supportive Care
CEFPODOXIME PROXETIL,Other/Supportive Care
CEFPROZIL,Other/Supportive Care
CEFTAROLINE FOSAMIL ACETATE,Other/Supportive Care
CEFTAZIDIME,Other/Supportive Care
CEFTAZIDIME IN DEXTROSE5%WATER,Other/Supportive Care
CEFTAZIDIME/AVIBACTAM,Other/Supportive Care
CEFTIBUTEN,Other/Supportive Care
CEFTOLOZANE/TAZOBACTAM,Other/Supportive Care
CEFTRIAXONE IN IS-OSM DEXTROSE,Other/Supportive Care
CEFTRIAXONE SODIUM,Other/Supportive Care
CEFUROXIME AXETIL,Other/Supportive Care
CEFUROXIME SODIUM,Other/Supportive Care
CELECOXIB,Pain/Analgesics/Antiinflammatory
CEPHALEXIN,Antibiotics/Antiinfectives
CERITINIB,Other/Supportive Care
CERTOLIZUMAB PEGOL,Immunosuppressants/Biologics
CETIRIZINE HCL,Other/Supportive Care
CETUXIMAB,Other/Supportive Care
CEVIMELINE HCL,Other/Supportive Care
CHENODIOL,Other/Supportive Care
CHLORAMBUCIL,Other/Supportive Care
CHLORDIAZEPOXIDE HCL,Other/Supportive Care
CHLORDIAZEPOXIDE/CLIDINIUM BR,Other/Supportive Care
CHLORHEXIDINE GLUCONATE,Other/Supportive Care
CHLOROQUINE PHOSPHATE,Other/Supportive Care
CHLOROTHIAZIDE,Other/Supportive Care
CHLOROTHIAZIDE SODIUM,Other/Supportive Care
CHLORPROMAZINE HCL,Other/Supportive Care
CHLORPROPAMIDE,Other/Supportive Care
CHLORTHALIDONE,Other/Supportive Care
CHLORZOXAZONE,Other/Supportive Care
CHOLESTYRAMINE (WITH SUGAR),Other/Supportive Care
CHOLESTYRAMINE/ASPARTAME,Other/Supportive Care
"CHORIONIC GONADOTROPIN, HUMAN",Other/Supportive Care
CICLESONIDE,Other/Supportive Care
CICLOPIROX,Other/Supportive Care
CICLOPIROX OLAMINE,Other/Supportive Care
CICLOPIROX/UREA/CAMPH/MEN/EUC,Other/Supportive Care
CIDOFOVIR,Other/Supportive Care
CILOSTAZOL,Other/Supportive Care
CIMETIDINE,Gastrointestinal
CIMETIDINE HCL,Gastrointestinal
CINACALCET HCL,Other/Supportive Care
CIPROFLOXACIN,Antibiotics/Antiinfectives
CIPROFLOXACIN HCL,Antibiotics/Antiinfectives
CIPROFLOXACIN HCL/DEXAMETH,Antibiotics/Antiinfectives
CIPROFLOXACIN HCL/FLUOCINOLONE,Antibiotics/Antiinfectives
CIPROFLOXACIN IN 5 % DEXTROSE,Antibiotics/Antiinfectives
CIPROFLOXACIN LACTATE,Antibiotics/Antiinfectives
CIPROFLOXACIN/CIPROFLOXA HCL,Antibiotics/Antiinfectives
CIPROFLOXACIN/HYDROCORTISONE,Antibiotics/Antiinfectives
CISPLATIN,Other/Supportive Care
CITALOPRAM HYDROBROMIDE,Neurological/Neuropsychiatric
CITRIC AC/GLUCONOLACT/MAG CARB,Other/Supportive Care
CITRIC ACID/SODIUM CITRATE,Other/Supportive Care
CLARITHROMYCIN,Antibiotics/Antiinfectives
CLEMASTINE FUMARATE,Other/Supportive Care
CLINDAMYCIN HCL,Other/Supportive Care
CLINDAMYCIN IN 0.9 % SOD CHLOR,Other/Supportive Care
CLINDAMYCIN PALMITATE HCL,Other/Supportive Care
CLINDAMYCIN PHOS/BENZOYL PEROX,Other/Supportive Care
CLINDAMYCIN PHOSPHATE,Other/Supportive Care
CLINDAMYCIN PHOSPHATE/D5W,Other/Supportive Care
CLINDAMYCIN/TRETINOIN,Dermatological
CLOBAZAM,Other/Supportive Care
CLOBETASOL PROPIONATE,Dermatological
CLOBETASOL PROPIONATE/EMOLL,Dermatological
CLOCORTOLONE PIVALATE,Other/Supportive Care
CLOMIPHENE CITRATE,Other/Supportive Care
CLOMIPRAMINE HCL,Other/Supportive Care
CLONAZEPAM,Neurological/Neuropsychiatric
CLONIDINE,Other/Supportive Care
CLONIDINE HCL,Other/Supportive Care
CLOPIDOGREL BISULFATE,Cardiovascular
CLORAZEPATE DIPOTASSIUM,Other/Supportive Care
CLOTRIMAZOLE,Antibiotics/Antiinfectives
